City,Price(TL),Series,Model,Year,Kilometers,Color,EngineSize,EnginePower,VehicleTax(),NEW_Price_log,NEW_Kilometers_log,NEW_EngineSize_log,NEW_EnginePower_log,NEW_VehicleTax_log,NEW_District,NEW_DaysSinceListing,NEW_CarAge,NEW_NumOriginalParts,NEW_NumLocalPaintedParts,NEW_NumPaintedParts,NEW_NumChangedParts,NEW_NumUnknownParts,NEW_HasDamage,NEW_HasHighDamage,NEW_DamageCost,NEW_KmPerYear,NEW_AvgPricePerBrandSeries,NEW_AvgKmPerBrandSeries,NEW_DistrictAvgPrice,Brand_BMW,Brand_Fiat,Brand_Ford,Brand_Hyundai,Brand_Opel,Brand_Peugeot,Brand_Renault,Brand_Toyota,Brand_Volkswagen,GearType_Otomatik,GearType_Yarı Otomatik,FuelType_Dizel,FuelType_Elektrik,FuelType_Hibrit,FuelType_LPG & Benzin,BodyType_Hatchback/3,BodyType_Hatchback/5,BodyType_MPV,BodyType_Roadster,BodyType_Sedan,BodyType_Station wagon,DriveType_Arkadan İtiş,DriveType_Önden Çekiş,TradeInStatus_Takasa Uygun,TradeInStatus_Takasa Uygun Değil,SellerType_Galeriden,SellerType_Sahibinden,SellerType_Yetkili Bayiden,NEW_KmCategory_50-100K,NEW_KmCategory_100-150K,NEW_KmCategory_150-200K,NEW_KmCategory_200-300K,NEW_KmCategory_300K+
0.005462422301751742,0.7008752776316263,0.036918440384253154,1.0,2016.0,-0.8974168073941885,0.3467696364663779,-1.2536130326331396,0.14149069351718657,4.561631598907809,13.971660095885833,11.695255355062795,7.0909098220799835,4.736198448394496,11.182795076253608,0.11471086833678659,9,9,13,0,0,0,0,-1,0,1.0861358849307625e-17,-0.27211251000220904,0.8962859050837362,-1.160089125484756,-0.37794062524967736,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
0.11489922772650217,2.677874020425979,0.44660011301563385,1.0,2018.0,-0.731613377252419,0.13185157280090412,1.8933801242233044,2.2748783106229427,0.46132646039085606,14.711598990684092,11.820417517632333,7.585281078639126,5.25227342804663,9.452109387413557,0.8645695987944999,9,7,8,0,4,1,0,-1,0,1.0861358849307625e-17,0.5066578657855448,2.529867696897219,0.7653017139876157,-0.45567417350689426,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False
0.008852891316632134,0.054222293064230515,0.44660011301563385,1.0,2011.0,0.8124310659428093,0.3467696364663779,1.1967800764816436,1.4436883299323884,-0.13249266817707897,13.527829818844937,12.560247968016562,7.4949862339505335,5.081404364984463,8.335431477880796,0.11471086833678659,8,14,5,2,6,0,0,1,0,0.15437738726747255,0.8181660161006463,1.2394722732478827,0.07338387269833993,-0.37794062524967736,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False
0.03296289320022603,0.7410017158148059,0.036918440384253154,1.0,2016.0,-1.0943083806875398,0.13185157280090412,0.3772506085502779,0.05837169544813113,-0.16763932918384328,13.993657580167481,11.522885696764481,7.377133712833954,4.709530201312334,8.205764725234456,0.8645695987944999,13,9,11,1,0,1,0,0,0,-0.06953868176243037,-0.5680452528015555,0.8962859050837362,-1.160089125484756,0.6003257531976792,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False
0.11489922772650217,0.1653416603407281,0.036918440384253154,1.0,2012.0,0.055952915920986016,0.3467696364663779,0.3772506085502779,-0.08015996800029458,-0.24209201936385288,13.619496890582589,12.264346270624157,7.377133712833954,4.663439094112067,7.858640655620791,0.8645695987944999,14,13,12,1,0,0,0,-1,0,1.0861358849307625e-17,0.2174002976358077,0.8962859050837362,-1.160089125484756,0.20051335410544088,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.1902429836127331,1.5975468385711415,0.44660011301563385,1.0,2018.0,-1.2538941821989928,0.03786023733283104,-0.4545718014000582,1.166625003035537,-0.11717232876387403,14.375126917328105,11.357452244304588,7.241366283322318,5.017279836814924,8.387084506069217,0.8645695987944999,19,7,0,1,0,0,12,1,0,0.0433150170286407,-0.47459280770702506,1.2394722732478827,0.07338387269833993,1.137314456902934,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False
0.01902429836127331,0.4246201839858892,0.036918440384253154,1.0,2014.0,0.11812920222414958,0.13185157280090412,0.3772506085502779,0.05837169544813113,-0.16763932918384328,13.805461232211272,12.292254928916668,7.377133712833954,4.709530201312334,8.205764725234456,0.8645695987944999,19,11,0,0,0,1,12,1,0,-0.059701302463049964,0.6883709534693542,0.8962859050837362,-1.160089125484756,-0.21772036861943864,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False
0.013561876059521567,1.173132588556741,0.036918440384253154,1.0,2018.0,-0.835240521091025,0.13185157280090412,-0.024318830736091236,0.14149069351718657,-0.11717232876387403,14.204169225721929,11.744045122410057,7.313886831633462,4.736198448394496,8.387084506069217,0.8645695987944999,9,7,9,0,4,0,0,-1,0,1.0861358849307625e-17,0.31196527183860634,0.8962859050837362,-1.160089125484756,-0.4469046818988633,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False
0.006215859860614052,0.4863531658061656,0.44660011301563385,1.0,2008.0,-0.18238951490780764,0.13185157280090412,1.8933801242233044,0.7787363453799448,-0.2490242996413212,13.845070331079134,12.149507585033072,7.585281078639126,4.919980925828125,7.81923445385907,0.8645695987944999,9,17,13,0,0,0,0,-1,0,1.0861358849307625e-17,-0.5057436227385352,2.529867696897219,0.7653017139876157,-0.5862235492597356,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False
0.03465812770766623,0.7255684703597368,0.036918440384253154,1.0,2017.0,-0.4880895892316951,0.13185157280090412,-0.024318830736091236,0.14149069351718657,-0.16763932918384328,13.98525417643287,11.979805470779858,7.313886831633462,4.736198448394496,8.205764725234456,0.8645695987944999,9,8,11,1,1,0,0,-1,0,1.0861358849307625e-17,0.6191469200659983,0.8962859050837362,-1.160089125484756,0.6770258563642816,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False
